### BEST setup times (user's other params: buf3.15 sl2.0 rr2.0 $100+$50)
  key  trades  win_rate    pf  exp_r      net     dd  pos_frac
03:15 196.500    40.805 1.293  0.165 1767.268 24.279     1.000
05:30 548.333    40.124 1.208  0.145 5166.268 26.457     1.000
03:00 196.833    39.370 1.202  0.122 1180.288 28.301     1.000
06:15 547.167    39.110 1.172  0.115 3631.514 32.260     1.000
05:15 546.333    38.988 1.165  0.111 4077.928 31.815     1.000
02:45 196.000    39.035 1.159  0.104  946.203 26.847     1.000
02:30 196.167    37.954 1.116  0.075  684.161 34.823     0.833
17:45 545.667    37.662 1.094  0.075 1957.142 33.197     1.000
06:00 546.000    37.758 1.091  0.073 1955.012 31.860     1.000
00:45 547.333    36.846 1.088  0.068 1660.168 37.679     1.000
21:00 553.000    37.283 1.072  0.062 1574.658 30.595     0.833
05:45 545.167    37.301 1.064  0.060 1594.072 29.453     0.833
16:30 546.167    37.230 1.071  0.060 1481.119 27.881     0.833
18:15 539.667    37.395 1.075  0.059 1460.781 30.669     0.833
16:45 547.000    37.171 1.066  0.058 1330.550 31.881     1.000

### WORST
  key  trades  win_rate    pf  exp_r       net     dd  pos_frac
13:30 542.333    32.454 0.852 -0.088 -2043.379 47.963     0.000
14:30 542.667    32.517 0.852 -0.089 -2058.221 50.761     0.000
11:45 531.667    32.637 0.860 -0.089 -2112.447 48.222     0.000
12:15 530.500    32.475 0.845 -0.092 -2099.518 51.432     0.000
11:30 534.333    32.163 0.844 -0.099 -2276.167 50.570     0.000
14:15 542.833    31.866 0.828 -0.107 -2410.231 54.205     0.000
22:00 553.500    31.256 0.812 -0.118 -2594.220 57.935     0.000
12:00 531.000    30.703 0.777 -0.143 -2813.332 59.512     0.000

### user's own 09:00
  key  trades  win_rate    pf  exp_r       net     dd  pos_frac
09:00 539.667    33.976 0.914 -0.042 -1245.549 40.728     0.167
