
### setup 09:00 — grid offset control
 offset  trades  win_rate    pf  exp_r       net  pos_frac
      0 539.667    33.976 0.914 -0.042 -1245.549     0.167
      5 554.667    32.241 0.847 -0.094 -2215.674     0.000
     10 568.500    27.762 0.682 -0.231 -3754.729     0.000
     15 561.500    27.503 0.722 -0.234 -3744.008     0.000
     20 566.333    28.966 0.727 -0.195 -3389.584     0.000
     25 559.000    26.862 0.578 -0.257 -3892.944     0.000
     30 569.667    27.180 0.648 -0.250 -3880.171     0.000
     35 573.000    28.184 0.687 -0.220 -3668.228     0.000
     40 571.500    27.879 0.679 -0.223 -3700.936     0.000
     45 553.500    27.041 0.675 -0.248 -3808.149     0.000
  round-number grid: -0.042R   |   mean of 9 shifted grids: -0.217R (range -0.257 .. -0.094)
  -> round numbers rank 1 of 10

### setup 21:30 — grid offset control
 offset  trades  win_rate    pf  exp_r       net  pos_frac
      0 554.667    36.602 1.048  0.048  1111.694     0.833
      5 560.667    31.242 0.791 -0.122 -2632.312     0.000
     10 565.333    27.626 0.662 -0.236 -3756.900     0.000
     15 565.000    32.624 0.866 -0.086 -2160.228     0.000
     20 569.000    33.097 0.914 -0.045 -1420.296     0.000
     25 557.333    28.476 0.689 -0.204 -3496.369     0.000
     30 554.667    27.918 0.673 -0.226 -3652.948     0.000
     35 558.500    27.371 0.620 -0.250 -3855.880     0.000
     40 563.333    26.242 0.635 -0.268 -3953.586     0.000
     45 561.833    25.421 0.586 -0.290 -4086.754     0.000
  round-number grid: +0.048R   |   mean of 9 shifted grids: -0.192R (range -0.290 .. -0.045)
  -> round numbers rank 1 of 10

### setup 00:00 — grid offset control
 offset  trades  win_rate    pf  exp_r       net  pos_frac
      0 546.500    34.126 0.953 -0.015  -740.662     0.167
      5 556.333    32.803 0.868 -0.065 -1790.499     0.000
     10 557.833    29.280 0.726 -0.186 -3371.483     0.000
     15 564.667    32.230 0.843 -0.097 -2333.336     0.000
     20 563.833    34.116 0.959 -0.012  -679.877     0.167
     25 468.500    28.457 0.770 -0.146 -2736.627     0.000
     30 484.167    30.434 0.834 -0.096 -2191.751     0.000
     35 550.833    29.524 0.699 -0.180 -3284.851     0.000
     40 557.833    25.512 0.569 -0.295 -4085.735     0.000
     45 559.333    25.813 0.630 -0.280 -3993.386     0.000
  round-number grid: -0.015R   |   mean of 9 shifted grids: -0.151R (range -0.295 .. -0.012)
  -> round numbers rank 2 of 10
