combos: 144
### TOP 25 by expectancy (09:00 IST, $100+$50, both directions)
  buf   sl  risk  rr  trades  win_rate    pf  exp_r      net     dd  pos_frac
 3.15  6.0  9.15 3.0 535.500    28.975 1.121  0.127 3757.891 31.195     1.000
 2.00  6.0  8.00 3.0 547.333    29.050 1.121  0.123 3675.993 32.865     1.000
 3.15 15.0 18.15 1.5 517.833    45.703 1.174  0.122 3808.467 26.452     1.000
 2.00 15.0 17.00 2.0 517.833    37.981 1.152  0.119 3570.856 29.581     1.000
12.00 15.0 27.00 3.0 379.500    27.885 1.109  0.106 1744.493 19.124     1.000
 5.00 10.0 15.00 3.0 511.000    28.147 1.096  0.105 2495.360 31.331     1.000
 3.15 15.0 18.15 2.0 506.833    37.456 1.130  0.103 2749.687 25.428     1.000
 1.00 15.0 16.00 2.0 527.167    37.368 1.119  0.100 2762.120 31.750     1.000
12.00  1.0 13.00 3.0 466.667    28.141 1.081  0.100 2101.899 45.230     1.000
12.00  1.0 13.00 2.0 466.000    37.162 1.100  0.090 2077.934 38.853     1.000
 1.00 10.0 11.00 3.0 546.000    27.931 1.076  0.090 2236.729 39.422     1.000
 8.00  2.0 10.00 3.0 503.667    27.929 1.081  0.087 2003.735 29.456     0.833
 5.00 15.0 20.00 1.5 500.167    44.152 1.122  0.086 2200.109 23.947     1.000
 8.00  4.0 12.00 3.0 503.667    27.765 1.073  0.084 1858.399 35.346     0.833
 2.00 15.0 17.00 1.5 528.667    44.230 1.114  0.084 2365.293 28.914     1.000
 5.00  2.0  7.00 3.0 527.667    28.207 1.082  0.084 1991.020 39.698     1.000
 5.00  6.0 11.00 2.0 525.667    37.002 1.100  0.083 2138.040 25.158     1.000
12.00  2.0 14.00 3.0 466.167    27.601 1.060  0.080 1455.813 46.941     1.000
 8.00 15.0 23.00 2.0 472.333    36.520 1.082  0.078 1633.224 31.715     1.000
 5.00 15.0 20.00 2.0 499.000    36.540 1.087  0.077 1774.171 26.937     1.000
 3.15  4.0  7.15 3.0 539.833    28.006 1.065  0.077 1813.661 34.118     0.833
 2.00 15.0 17.00 3.0 501.333    27.496 1.058  0.075 1457.911 35.984     1.000
 3.15 10.0 13.15 3.0 524.000    27.449 1.060  0.075 1598.498 33.954     0.833
 3.15 10.0 13.15 2.0 531.500    36.563 1.076  0.074 1835.765 37.287     1.000
12.00  2.0 14.00 2.0 468.667    36.417 1.075  0.070 1481.310 37.675     1.000

### TOP 15 by net $ (compounded)
  buf   sl  risk  rr  trades  win_rate    pf  exp_r      net     dd  pos_frac
 3.15 15.0 18.15 1.5 517.833    45.703 1.174  0.122 3808.467 26.452     1.000
 3.15  6.0  9.15 3.0 535.500    28.975 1.121  0.127 3757.891 31.195     1.000
 2.00  6.0  8.00 3.0 547.333    29.050 1.121  0.123 3675.993 32.865     1.000
 2.00 15.0 17.00 2.0 517.833    37.981 1.152  0.119 3570.856 29.581     1.000
 1.00 15.0 16.00 2.0 527.167    37.368 1.119  0.100 2762.120 31.750     1.000
 3.15 15.0 18.15 2.0 506.833    37.456 1.130  0.103 2749.687 25.428     1.000
 5.00 10.0 15.00 3.0 511.000    28.147 1.096  0.105 2495.360 31.331     1.000
 2.00 15.0 17.00 1.5 528.667    44.230 1.114  0.084 2365.293 28.914     1.000
 1.00 10.0 11.00 3.0 546.000    27.931 1.076  0.090 2236.729 39.422     1.000
 5.00 15.0 20.00 1.5 500.167    44.152 1.122  0.086 2200.109 23.947     1.000
 5.00  6.0 11.00 2.0 525.667    37.002 1.100  0.083 2138.040 25.158     1.000
12.00  1.0 13.00 3.0 466.667    28.141 1.081  0.100 2101.899 45.230     1.000
12.00  1.0 13.00 2.0 466.000    37.162 1.100  0.090 2077.934 38.853     1.000
 8.00  2.0 10.00 3.0 503.667    27.929 1.081  0.087 2003.735 29.456     0.833
 5.00  2.0  7.00 3.0 527.667    28.207 1.082  0.084 1991.020 39.698     1.000
