=== IN-SAMPLE  2016-2024 ===

### Best 8 on 2016-2024, and how they then did on 2025-2026
  key  trades_old  exp_r_old  pf_old  trades_new  exp_r_new  pf_new
03:00     356.667      0.027   1.015     197.000      0.128   1.214
02:30     363.667      0.025   1.016     195.000      0.019   1.009
13:00    1163.333     -0.061   0.888     495.667     -0.094   0.839
09:00    1166.333     -0.062   0.889     539.000     -0.055   0.898
11:00    1162.667     -0.073   0.878     540.667      0.021   1.010
14:00    1156.000     -0.074   0.862     538.667     -0.072   0.866
08:00    1180.667     -0.074   0.862     546.333      0.045   1.041
13:30    1158.667     -0.075   0.882     544.667     -0.107   0.825

### Best 8 on 2025-2026, and how they had done on 2016-2024
  key  trades_new  exp_r_new  pf_new  trades_old  exp_r_old  pf_old
05:30     547.667      0.153   1.206    1178.667     -0.110   0.829
03:00     197.000      0.128   1.214     356.667      0.027   1.015
21:00     551.667      0.064   1.073    1156.000     -0.107   0.842
06:00     545.667      0.063   1.078    1173.667     -0.082   0.853
18:00     540.667      0.054   1.059    1180.667     -0.084   0.865
00:30     546.000      0.052   1.053    1160.667     -0.144   0.777
16:30     546.667      0.051   1.058    1148.000     -0.124   0.804
05:00     548.000      0.048   1.052    1172.333     -0.110   0.827

### Correlation of expectancy across the two eras: +0.104
    (>0 = setup-time ranking persists; ~0 = the ranking is noise)
    Top-8 of 2016-2024 averaged -0.014R in 2025-26 vs -0.011R for all times
