
### MAGNET trade — 2025-01-01 -> 2026-06-09   (top 12 by expectancy)
 stop_mult  min_dist  tp_pullback  trades     wr    pf  exp_r     net     dd  tp_rate  expiry_rate
       1.0      20.0          2.0   188.8 53.812 1.162  0.069 656.413 11.187   45.230       19.812
       0.5      20.0          2.0   206.8 39.555 1.074  0.055 508.356 17.094   30.947       10.929
       1.0      20.0          0.0   186.0 54.193 1.115  0.052 460.723 12.874   42.363       24.196
       0.5      20.0          0.0   205.6 39.594 1.069  0.051 458.799 16.952   29.087       12.940
       1.0      10.0          2.0   255.2 52.822 1.103  0.048 586.405 11.409   46.709       14.813
       1.0      10.0          0.0   249.4 53.246 1.073  0.035 400.256 15.046   44.103       18.205
       1.5      20.0          2.0   179.4 58.305 1.081  0.027 228.730  8.723   48.271       28.543
       1.5      20.0          0.0   178.0 58.202 1.071  0.024 195.546  9.133   46.292       31.011
       2.0      20.0          0.0   173.2 62.702 1.083  0.021 172.960  8.671   47.691       36.259
       3.0      20.0          2.0   171.6 65.733 1.125  0.021 176.336  4.880   52.912       38.696
       1.5      10.0          0.0   237.0 58.397 1.048  0.018 184.456  9.283   48.776       25.148
       3.0      20.0          0.0   171.0 64.912 1.062  0.011  88.858  5.056   50.292       40.351

### MAGNET trade — 2016-2024 OUT-OF-SAMPLE   (top 12 by expectancy)
 stop_mult  min_dist  tp_pullback  trades     wr    pf  exp_r       net     dd  tp_rate  expiry_rate
       3.0      20.0          2.0   774.8 49.355 0.913 -0.005  -208.846  6.600    6.040       93.960
       3.0      10.0          0.0  1026.8 51.461 0.924 -0.006  -310.939 12.326   11.745       87.320
       3.0      20.0          0.0   772.6 48.900 0.891 -0.006  -243.589  6.787    4.996       95.004
       2.0      20.0          2.0   781.6 49.232 0.927 -0.007  -267.556  9.327    6.551       92.042
       3.0      10.0          2.0  1038.0 51.927 0.920 -0.007  -368.760 14.782   14.027       84.509
       2.0      10.0          0.0  1042.8 50.997 0.915 -0.010  -538.071 20.202   12.006       84.811
       2.0      20.0          0.0   777.4 48.649 0.882 -0.011  -405.062 10.999    5.299       93.492
       1.5      20.0          2.0   789.0 49.429 0.912 -0.011  -425.373 11.672    6.210       90.545
       2.0      10.0          2.0  1058.8 51.530 0.893 -0.015  -760.047 23.312   14.261       80.903
       3.0       0.0          0.0  1369.8 54.928 0.862 -0.016 -1013.823 22.147   25.595       69.310
       1.5      20.0          0.0   783.0 48.174 0.857 -0.017  -652.670 16.000    5.185       91.980
       1.0      20.0          2.0   804.8 48.459 0.894 -0.019  -733.151 18.168    5.542       87.351
