i,dt,ref,up,dn,d_up,d_dn,nearer,near_dist,far_dist,first,p_up_baseline,went_nearer,p_near_base,bucket
216,2016-01-06 09:00:00,1077.751,1100.0,1000.0,22.249000000000024,77.75099999999998,up,22.249000000000024,77.75099999999998,up,0.7775099999999998,True,0.7775099999999998,20-30
308,2016-01-07 09:00:00,1099.121,1100.0,1000.0,0.8789999999999054,99.1210000000001,up,0.8789999999999054,99.1210000000001,up,0.9912100000000009,True,0.9912100000000009,0-10
400,2016-01-08 09:00:00,1103.068,1200.0,1100.0,96.93200000000002,3.0679999999999836,dn,3.0679999999999836,96.93200000000002,dn,0.030679999999999836,True,0.9693200000000002,0-10
492,2016-01-11 09:00:00,1105.193,1200.0,1100.0,94.80700000000002,5.192999999999984,dn,5.192999999999984,94.80700000000002,dn,0.05192999999999984,True,0.9480700000000002,0-10
1136,2016-01-20 09:00:00,1092.578,1100.0,1000.0,7.4220000000000255,92.57799999999997,up,7.4220000000000255,92.57799999999997,up,0.9257799999999997,True,0.9257799999999997,0-10
1228,2016-01-21 09:00:00,1099.651,1100.0,1000.0,0.3489999999999327,99.65100000000007,up,0.3489999999999327,99.65100000000007,up,0.9965100000000007,True,0.9965100000000007,0-10
1320,2016-01-22 09:00:00,1100.469,1200.0,1100.0,99.53099999999995,0.46900000000005093,dn,0.46900000000005093,99.53099999999995,dn,0.00469000000000051,True,0.9953099999999995,0-10
1412,2016-01-25 09:00:00,1101.549,1200.0,1100.0,98.45100000000002,1.5489999999999782,dn,1.5489999999999782,98.45100000000002,dn,0.015489999999999782,True,0.9845100000000002,0-10
2332,2016-02-08 09:00:00,1165.978,1200.0,1100.0,34.021999999999935,65.97800000000007,up,34.021999999999935,65.97800000000007,up,0.6597800000000007,True,0.6597800000000007,30-40
2516,2016-02-10 09:00:00,1190.559,1200.0,1100.0,9.441000000000031,90.55899999999997,up,9.441000000000031,90.55899999999997,up,0.9055899999999997,True,0.9055899999999997,0-10
2792,2016-02-15 09:00:00,1223.819,1300.0,1200.0,76.18100000000004,23.81899999999996,dn,23.81899999999996,76.18100000000004,dn,0.2381899999999996,True,0.7618100000000004,20-30
2884,2016-02-16 09:00:00,1194.139,1200.0,1100.0,5.861000000000104,94.1389999999999,up,5.861000000000104,94.1389999999999,up,0.941389999999999,True,0.941389999999999,0-10
7764,2016-05-02 09:00:00,1292.831,1300.0,1200.0,7.169000000000096,92.8309999999999,up,7.169000000000096,92.8309999999999,up,0.9283099999999991,True,0.9283099999999991,0-10
7856,2016-05-03 09:00:00,1293.921,1300.0,1200.0,6.078999999999951,93.92100000000005,up,6.078999999999951,93.92100000000005,up,0.9392100000000005,True,0.9392100000000005,0-10
9512,2016-05-27 09:00:00,1216.21,1300.0,1200.0,83.78999999999996,16.210000000000036,dn,16.210000000000036,83.78999999999996,dn,0.16210000000000035,True,0.8378999999999996,10-20
9604,2016-05-30 09:00:00,1203.021,1300.0,1200.0,96.97900000000004,3.020999999999958,dn,3.020999999999958,96.97900000000004,dn,0.03020999999999958,True,0.9697900000000004,0-10
10708,2016-06-15 09:00:00,1283.43,1300.0,1200.0,16.569999999999936,83.43000000000006,up,16.569999999999936,83.43000000000006,up,0.8343000000000006,True,0.8343000000000006,10-20
10800,2016-06-16 09:00:00,1299.111,1300.0,1200.0,0.8889999999998963,99.1110000000001,up,0.8889999999998963,99.1110000000001,up,0.991110000000001,True,0.991110000000001,0-10
11260,2016-06-23 09:00:00,1265.37,1300.0,1200.0,34.63000000000011,65.36999999999989,up,34.63000000000011,65.36999999999989,up,0.653699999999999,True,0.653699999999999,30-40
17976,2016-10-04 09:00:00,1310.182,1400.0,1300.0,89.81799999999998,10.182000000000016,dn,10.182000000000016,89.81799999999998,dn,0.10182000000000016,True,0.8981799999999999,10-20
19908,2016-11-02 09:00:00,1290.228,1300.0,1200.0,9.771999999999935,90.22800000000007,up,9.771999999999935,90.22800000000007,up,0.9022800000000006,True,0.9022800000000006,0-10
20000,2016-11-03 09:00:00,1302.999,1400.0,1300.0,97.00099999999998,2.9990000000000236,dn,2.9990000000000236,97.00099999999998,dn,0.029990000000000235,True,0.9700099999999998,0-10
20092,2016-11-04 09:00:00,1299.338,1300.0,1200.0,0.6620000000000346,99.33799999999997,up,0.6620000000000346,99.33799999999997,up,0.9933799999999997,True,0.9933799999999997,0-10
20272,2016-11-08 09:00:00,1283.508,1300.0,1200.0,16.491999999999962,83.50800000000004,up,16.491999999999962,83.50800000000004,up,0.8350800000000004,True,0.8350800000000004,10-20
20364,2016-11-09 09:00:00,1320.109,1400.0,1300.0,79.89100000000008,20.108999999999924,dn,20.108999999999924,79.89100000000008,dn,0.20108999999999924,True,0.7989100000000008,20-30
21284,2016-11-23 09:00:00,1213.868,1300.0,1200.0,86.13200000000006,13.867999999999938,dn,13.867999999999938,86.13200000000006,dn,0.1386799999999994,True,0.8613200000000006,10-20
24412,2017-01-12 09:00:00,1197.171,1200.0,1100.0,2.828999999999951,97.17100000000005,up,2.828999999999951,97.17100000000005,up,0.9717100000000005,True,0.9717100000000005,0-10
24504,2017-01-13 09:00:00,1192.429,1200.0,1100.0,7.570999999999913,92.42900000000009,up,7.570999999999913,92.42900000000009,up,0.9242900000000008,True,0.9242900000000008,0-10
24780,2017-01-18 09:00:00,1215.431,1300.0,1200.0,84.56899999999996,15.43100000000004,dn,15.43100000000004,84.56899999999996,dn,0.1543100000000004,True,0.8456899999999996,10-20
24872,2017-01-19 09:00:00,1202.179,1300.0,1200.0,97.82099999999991,2.1790000000000873,dn,2.1790000000000873,97.82099999999991,dn,0.021790000000000875,True,0.9782099999999991,0-10
24964,2017-01-20 09:00:00,1207.919,1300.0,1200.0,92.0809999999999,7.919000000000096,dn,7.919000000000096,92.0809999999999,dn,0.07919000000000097,True,0.920809999999999,0-10
25240,2017-01-25 09:00:00,1206.018,1300.0,1200.0,93.98199999999997,6.018000000000029,dn,6.018000000000029,93.98199999999997,dn,0.06018000000000029,True,0.9398199999999997,0-10
25516,2017-01-30 09:00:00,1194.288,1200.0,1100.0,5.711999999999989,94.28800000000001,up,5.711999999999989,94.28800000000001,up,0.9428800000000002,True,0.9428800000000002,0-10
25608,2017-01-31 09:00:00,1200.218,1300.0,1200.0,99.78199999999993,0.21800000000007458,dn,0.21800000000007458,99.78199999999993,dn,0.0021800000000007456,True,0.9978199999999993,0-10
25700,2017-02-01 09:00:00,1210.978,1300.0,1200.0,89.02199999999993,10.978000000000065,dn,10.978000000000065,89.02199999999993,dn,0.10978000000000065,True,0.8902199999999993,10-20
28092,2017-03-09 09:00:00,1207.198,1300.0,1200.0,92.80199999999991,7.198000000000093,dn,7.198000000000093,92.80199999999991,dn,0.07198000000000093,True,0.9280199999999991,0-10
28184,2017-03-10 09:00:00,1199.039,1200.0,1100.0,0.9610000000000127,99.03899999999999,up,0.9610000000000127,99.03899999999999,up,0.9903899999999999,True,0.9903899999999999,0-10
28372,2017-03-14 09:00:00,1203.709,1300.0,1200.0,96.29099999999994,3.70900000000006,dn,3.70900000000006,96.29099999999994,dn,0.0370900000000006,True,0.9629099999999994,0-10
28464,2017-03-15 09:00:00,1201.628,1300.0,1200.0,98.37200000000007,1.627999999999929,dn,1.627999999999929,98.37200000000007,dn,0.01627999999999929,True,0.9837200000000007,0-10
38676,2017-08-18 09:00:00,1287.002,1300.0,1200.0,12.998000000000047,87.00199999999995,up,12.998000000000047,87.00199999999995,up,0.8700199999999996,True,0.8700199999999996,10-20
39228,2017-08-28 09:00:00,1294.181,1300.0,1200.0,5.81899999999996,94.18100000000004,up,5.81899999999996,94.18100000000004,up,0.9418100000000004,True,0.9418100000000004,0-10
