hour,min,trades,win_rate,pf,pf_sd,exp_r,exp_r_sd,net,net_sd,worst_net,dd,pos_frac,ret_pct
0,0,1159.0,30.715409291826784,0.7743734630521414,0.03426132786591997,-0.1366698190336483,0.015610267868818906,-4140.6949013844205,155.80017471311666,-4270.121713835069,82.9827559138019,0.0,-82.81389802768841
0,30,1160.6666666666667,30.52855247656103,0.7765638004627604,0.016342233877185447,-0.14395270865108087,0.010903958783335862,-4217.59355107368,103.19890477701887,-4277.674465537404,84.54505990977948,0.0,-84.3518710214736
1,0,1159.3333333333333,30.65176520032702,0.7823468284697118,0.022181922989628605,-0.14047325565694133,0.012520374223148273,-4181.3142574598705,128.5245628475041,-4309.295885119739,83.8619224992204,0.0,-83.62628514919739
1,30,1148.3333333333333,31.642217686747028,0.8251329098549288,0.030126055331367054,-0.10909885488701605,0.01927869057271069,-3798.010874653581,256.81825823363033,-4079.2795308953146,76.25023385378198,0.0,-75.96021749307162
2,0,1153.3333333333333,31.474545892650468,0.8041963657773542,0.013012471132052023,-0.11384412749991257,0.012316659139554377,-3881.2823738582388,155.77563555535767,-4054.4598994941734,79.22290535133236,0.0,-77.62564747716476
2,30,363.6666666666667,36.12426735959292,1.0163876403876353,0.08393707264691758,0.025475593603309993,0.052778931462003235,209.6579827017082,947.5612497020074,-844.8039595301061,24.61536378686951,0.6666666666666666,4.1931596540341625
3,0,356.6666666666667,36.184661920097255,1.0150280892871162,0.0797293254018379,0.027287430418439767,0.055129234809410683,239.5422656611992,985.04522917734,-827.6429829596959,26.812708100664306,0.6666666666666666,4.790845313223985
3,30,827.0,29.70734059892787,0.7477710781267443,0.021168748482986756,-0.16696221651149779,0.017644055318454355,-3887.3042074779282,163.43537337188192,-4066.9273729735096,79.08586119306267,0.0,-77.74608414955857
4,0,830.3333333333334,29.30578887820594,0.7436536125404619,0.023596616395155433,-0.1788380959591999,0.018716983054612706,-3997.5781186238055,155.8249288846489,-4155.602712688744,80.50217514059297,0.0,-79.95156237247612
4,30,1162.6666666666667,31.30826674277016,0.8069296144160787,0.011271008166419898,-0.1189090338426726,0.0064824934457368335,-3960.713518700862,89.25692842869753,-4046.3356012964678,82.24410444532327,0.0,-79.21427037401725
5,0,1172.3333333333333,31.618116031619376,0.8273908325304653,0.016905750214000162,-0.10958071836470527,0.016049872146522162,-3843.0564575405747,212.2914473239306,-4066.5447442586856,79.19187499757852,0.0,-76.8611291508115
5,30,1178.6666666666667,31.617241492253452,0.829330686307856,0.010162492776667625,-0.10965283324985632,0.01365458687871255,-3858.5920788018752,181.61270391125527,-4034.7866653128513,78.60459794185822,0.0,-77.1718415760375
6,0,1173.6666666666667,32.550841735482415,0.8533220168522347,0.03217684003267894,-0.081635534029688,0.015948324027685066,-3405.6826810381303,302.9977956478436,-3736.634915789913,72.38037492451012,0.0,-68.1136536207626
6,30,1185.6666666666667,32.389547590201765,0.8585007295553041,0.025841428940975242,-0.08642890106353578,0.023066182486728017,-3489.2054136156244,396.4240057084721,-3912.591697485939,72.95411941677575,0.0,-69.7841082723125
7,0,1173.0,32.310061162006086,0.8413483031383041,0.015500219171169057,-0.08902830533822277,0.005116129869920769,-3550.9650431904033,86.65410791624547,-3603.3750959400813,73.40556601944452,0.0,-71.01930086380806
7,30,1180.0,32.42879079597727,0.8503935754807679,0.014866949061051425,-0.08504050066828567,0.007859944795268957,-3493.7977494714264,135.0298853075935,-3607.1005487008015,71.51651768550248,0.0,-69.87595498942852
8,0,1180.6666666666667,32.80822008589261,0.8624390533573342,0.02852362449586192,-0.07359973789624956,0.021240820375215776,-3248.238736598334,459.2390635049946,-3617.882807921469,71.4587833834284,0.0,-64.9647747319667
8,30,1175.6666666666667,32.60368973810822,0.8608415860858672,0.04251452472853885,-0.07968009996446675,0.033516572599810085,-3318.547025482012,565.4983909624851,-3970.8324804487806,70.54189250193087,0.0,-66.37094050964025
9,0,1166.3333333333333,33.21185825057392,0.8891357001826622,0.03288137069158733,-0.061502334019807,0.023775221755348692,-2944.6345393495103,587.9592487390037,-3454.6188066885884,67.38934166095599,0.0,-58.892690786990194
