day,setup_ts,ref_open,ask,bid,spread,upper,lower,buy_entry,sell_entry,buy_sl,sell_sl,buy_tp,sell_tp,risk_per_unit,equity_at_setup,risk_money,qty,position_open_at_setup,outcome
2026.03.02,2026.03.02 09:00:00.292,5355.275,5356.125,5355.275,0.85,5400.0,5300.0,5403.15,5296.85,5398.0,5302.0,5413.45,5286.55,5.15,5000.0,50.0,9.7087,False,LONG
2026.03.03,2026.03.03 09:00:00.078,5367.115,5367.965,5367.115,0.85,5400.0,5300.0,5403.15,5296.85,5398.0,5302.0,5413.45,5286.55,5.15,5098.3,50.98,9.8996,False,SHORT
2026.03.04,2026.03.04 09:00:00.072,5162.255,5163.142,5162.255,0.887,5200.0,5100.0,5203.15,5096.85,5198.0,5102.0,5213.45,5086.55,5.15,5042.69,50.43,9.7916,False,LONG
2026.03.05,2026.03.05 09:00:00.114,5184.905,5185.655,5184.905,0.75,5200.0,5100.0,5203.15,5096.85,5198.0,5102.0,5213.45,5086.55,5.15,4983.75,49.84,9.6772,False,SHORT
2026.03.06,2026.03.06 09:00:00.206,5136.225,5137.065,5136.225,0.84,5200.0,5100.0,5203.15,5096.85,5198.0,5102.0,5213.45,5086.55,5.15,5081.83,50.82,9.8676,False,SHORT
2026.03.09,2026.03.09 09:00:00.244,5083.675,5084.625,5083.675,0.95,5100.0,5000.0,5103.15,4996.85,5098.0,5002.0,5113.45,4986.55,5.15,5027.88,50.28,9.7629,False,LONG
2026.03.10,2026.03.10 09:00:00.051,5166.415,5167.175,5166.415,0.76,5200.0,5100.0,5203.15,5096.85,5198.0,5102.0,5213.45,5086.55,5.15,4959.83,49.6,9.6307,False,LONG
2026.03.11,2026.03.11 09:00:00.194,5204.255,5204.965,5204.255,0.71,5300.0,5200.0,5303.15,5196.85,5298.0,5202.0,5313.45,5186.55,5.15,5053.88,50.54,9.8134,False,SHORT
2026.03.12,2026.03.12 09:00:00.026,5151.585,5152.295,5151.585,0.71,5200.0,5100.0,5203.15,5096.85,5198.0,5102.0,5213.45,5086.55,5.15,5003.17,50.03,9.7149,False,NO TRADE
2026.03.13,2026.03.13 09:00:00.149,5110.185,5110.895,5110.185,0.71,5200.0,5100.0,5203.15,5096.85,5198.0,5102.0,5213.45,5086.55,5.15,5098.43,50.98,9.8999,False,SHORT
2026.03.16,2026.03.16 09:00:00.006,5010.925,5011.635,5010.925,0.71,5100.0,5000.0,5103.15,4996.85,5098.0,5002.0,5113.45,4986.55,5.15,5200.05,52.0,10.0972,False,SHORT
2026.03.17,2026.03.17 09:00:00.258,5032.435,5033.145,5032.435,0.71,5100.0,5000.0,5103.15,4996.85,5098.0,5002.0,5113.45,4986.55,5.15,5145.63,51.46,9.9915,False,SHORT
2026.03.18,2026.03.18 09:00:00.076,4995.975,4996.685,4995.975,0.71,5000.0,4900.0,5003.15,4896.85,4998.0,4902.0,5013.45,4886.55,5.15,5090.57,50.91,9.8846,False,LONG
2026.03.19,2026.03.19 09:00:00.340,4859.885,4860.545,4859.885,0.66,4900.0,4800.0,4903.15,4796.85,4898.0,4802.0,4913.45,4786.55,5.15,5189.69,51.9,10.0771,False,SHORT
2026.03.20,2026.03.20 09:00:00.098,4733.785,4734.445,4733.785,0.66,4800.0,4700.0,4803.15,4696.85,4798.0,4702.0,4813.45,4686.55,5.15,5131.65,51.32,9.9644,False,SHORT
