day,dir,entry_ts,entry,planned_entry,entry_slip,sl,tp,qty,exit_ts,exit,reason,pnl,r,equity_after,hold_sec
2026.03.02,long,2026.03.02 12:42:47.268,5403.325,5403.15,0.175,5398.0,5413.45,9.7087,2026.03.02 12:47:11.148,5413.45,TP,98.3,1.966,5098.3,263.9
2026.03.03,short,2026.03.03 11:42:26.123,5296.498,5296.85,0.352,5302.0,5286.55,9.8996,2026.03.03 11:42:36.914,5302.115,SL,-55.61,-1.091,5042.69,10.8
2026.03.04,long,2026.03.04 17:33:59.345,5204.015,5203.15,0.865,5198.0,5213.45,9.7916,2026.03.04 17:41:02.955,5197.995,SL,-58.95,-1.169,4983.75,423.6
2026.03.05,short,2026.03.05 18:52:55.136,5096.685,5096.85,0.165,5102.0,5086.55,9.6772,2026.03.05 18:53:16.718,5086.55,TP,98.08,1.968,5081.83,21.6
2026.03.06,short,2026.03.06 14:01:33.715,5096.708,5096.85,0.142,5102.0,5086.55,9.8676,2026.03.06 14:02:34.196,5102.175,SL,-53.95,-1.062,5027.88,60.5
2026.03.09,long,2026.03.09 10:53:17.829,5104.495,5103.15,1.345,5098.0,5113.45,9.7629,2026.03.09 10:53:44.509,5097.525,SL,-68.05,-1.353,4959.83,26.7
2026.03.10,long,2026.03.10 18:46:46.626,5203.685,5203.15,0.535,5198.0,5213.45,9.6307,2026.03.10 18:48:58.184,5213.45,TP,94.04,1.896,5053.88,131.6
2026.03.11,short,2026.03.11 11:00:23.672,5196.835,5196.85,0.015,5202.0,5186.55,9.8134,2026.03.11 11:05:49.625,5202.002,SL,-50.71,-1.003,5003.17,326.0
2026.03.13,short,2026.03.13 00:15:24.226,5096.355,5096.85,0.495,5102.0,5086.55,9.7149,2026.03.13 00:32:52.038,5086.55,TP,95.25,1.904,5098.43,1047.8
2026.03.13,short,2026.03.13 11:51:18.652,5096.815,5096.85,0.035,5102.0,5086.55,9.8999,2026.03.13 12:22:52.547,5086.55,TP,101.62,1.993,5200.05,1893.9
2026.03.16,short,2026.03.16 13:07:28.618,4996.645,4996.85,0.205,5002.0,4986.55,10.0972,2026.03.16 13:54:32.578,5002.035,SL,-54.42,-1.047,5145.63,2824.0
2026.03.17,short,2026.03.17 16:12:59.040,4996.495,4996.85,0.355,5002.0,4986.55,9.9915,2026.03.17 16:21:50.860,5002.005,SL,-55.05,-1.07,5090.57,531.8
2026.03.18,long,2026.03.18 11:39:48.095,5003.422,5003.15,0.272,4998.0,5013.45,9.8846,2026.03.18 12:05:52.974,5013.45,TP,99.12,1.947,5189.69,1564.9
2026.03.19,short,2026.03.19 12:07:32.120,4796.375,4796.85,0.475,4802.0,4786.55,10.0771,2026.03.19 12:09:08.816,4802.135,SL,-58.04,-1.118,5131.65,96.7
2026.03.20,short,2026.03.20 11:23:20.239,4696.735,4696.85,0.115,4702.0,4686.55,9.9644,2026.03.20 11:29:38.370,4686.55,TP,101.49,1.978,5233.14,378.1
